old_ref	old_anchor	old_title	new_file	new_section	disposition	note
WL-SPEC-4	sec-5.2	Fact tables	03-tasks-and-execution.md	10	moved	
WL-SPEC-4	sec-5.3	Handlers and resolver	03-tasks-and-execution.md	10	moved	
WL-SPEC-4	sec-5.4	Surface changes	03-tasks-and-execution.md	10	merged	one surface paragraph at end of 10.3
WL-SPEC-4	sec-5.5	Migration	-	-	dropped-history	
WL-SPEC-4	sec-5.6	Error handling	03-tasks-and-execution.md	10	moved	
WL-SPEC-4	sec-5.7	Known limitations	03-tasks-and-execution.md	10	moved	
WL-SPEC-4	sec-6.1	Decisions (hierarchy)	03-tasks-and-execution.md	5	merged	decision table reduced to standing rules
WL-SPEC-4	sec-6.10	Decomposition	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-6.2	Data model — migration 0006_task_hierarchy	03-tasks-and-execution.md	5	merged	migration framing dropped, schema kept
WL-SPEC-4	sec-6.3	Never claimable	03-tasks-and-execution.md	8	merged	predicate lives in 8.2 ready set and 7 step 5
WL-SPEC-4	sec-6.4	State machine of a task with children	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-6.5	Roll-up	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-6.6	Roll-up hooks into Transition	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-6.7	API	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-6.8	CLI	03-tasks-and-execution.md	5	merged	
WL-SPEC-4	sec-6.9	Brief — exactly one hop up	03-tasks-and-execution.md	5	moved	
WL-SPEC-4	sec-7	Postgres schema & data layer	03-tasks-and-execution.md	14	moved	
WL-SPEC-4	sec-8	Claim, lease, and reopen surface	03-tasks-and-execution.md	6	merged	session_id to worktree rename history dropped; surface line kept in 6
WL-SPEC-4	sec-9	Testing	-	-	dropped-other	test plan, not behaviour
WL-SPEC-5	sec-0	Purpose & scope	03-tasks-and-execution.md	-	merged	folded into the intro paragraph
WL-SPEC-5	sec-1	concern and priority	03-tasks-and-execution.md	2	merged	2.3 and 8.1
WL-SPEC-5	sec-2	project.focus	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-2a	The rally	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-3	Ranking	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-4	claim --next	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-5	--strict-focus	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-6	Task sizing and decomposition	03-tasks-and-execution.md	8	moved	
WL-SPEC-5	sec-7	Dependencies	-	-	dropped-other	spec dependency list
WL-SPEC-5	sec-8	Open questions	03-tasks-and-execution.md	-	merged	8.3 and 8.4 kept in Open questions
WL-SPEC-5	sec-9	Acceptance criteria	-	-	dropped-other	acceptance criteria
WL-SPEC-6	sec-0	Purpose & scope	07-knowledge-graph-and-search.md	1	merged	scope/ownership in 1; rdf-registry shipping paragraph in 2; ADR-000N conformance list dropped
WL-SPEC-6	sec-1	Reuse vs mint	07-knowledge-graph-and-search.md	2	moved	sec-1.1 runtime survey folded into the same section
WL-SPEC-6	sec-10	Canonical IRI scheme	07-knowledge-graph-and-search.md	10	merged	natural-key grammar kept in 10.2 under WL-SPEC-68's instance base; the worklode.io/ns/id/ base itself is stale
WL-SPEC-6	sec-10.1	Runtime IRI grammar	07-knowledge-graph-and-search.md	10	merged	Artifact/Deployment/Environment/Commit rows of the 10.2 table
WL-SPEC-6	sec-11	Projection: backbone → graph	07-knowledge-graph-and-search.md	12	moved	sec-11.1 runtime projection in the same section
WL-SPEC-6	sec-12	Accepted deviations — drift suppression	07-knowledge-graph-and-search.md	9	moved	
WL-SPEC-6	sec-13	What the data-platform must host	07-knowledge-graph-and-search.md	13	moved	13.1-13.4 collapsed into one table plus a not-required line
WL-SPEC-6	sec-14	Dependencies	07-knowledge-graph-and-search.md	-	dropped-other	cross-reference list; replaced by inline pointers to 03/05/06 files and the rdf-registry paragraph in 2
WL-SPEC-6	sec-15	Open questions	07-knowledge-graph-and-search.md	Open questions	merged	items 7-11 kept; resolved items 1-6 dropped-history
WL-SPEC-6	sec-16	Acceptance criteria	07-knowledge-graph-and-search.md	-	dropped-other	acceptance criteria; the new doc carries none
WL-SPEC-6	sec-2	Classes & subclassing	07-knowledge-graph-and-search.md	3	moved	sec-2.1 runtime classes in the same section
WL-SPEC-6	sec-3	Properties	07-knowledge-graph-and-search.md	4	moved	sec-3.1 runtime properties in the same section
WL-SPEC-6	sec-4	Status SKOS scheme	07-knowledge-graph-and-search.md	5	merged	
WL-SPEC-6	sec-5	Task-kind & model-layer SKOS schemes	07-knowledge-graph-and-search.md	5	merged	
WL-SPEC-6	sec-6	Runtime SKOS schemes	07-knowledge-graph-and-search.md	5	merged	
WL-SPEC-6	sec-7	Reasoning architecture (OWL / SHACL / SPARQL)	07-knowledge-graph-and-search.md	6	moved	
WL-SPEC-6	sec-8	Entity model by layer	07-knowledge-graph-and-search.md	7	moved	
WL-SPEC-6	sec-9	Deliverable — declared definition-of-done	07-knowledge-graph-and-search.md	8	moved	
WL-SPEC-7	sec-0	Purpose & scope	10-cockpit.md	16	merged	
WL-SPEC-7	sec-1	The two-layer model	10-cockpit.md	16	merged	
WL-SPEC-7	sec-1.1	Representation: named graphs per source	10-cockpit.md	16.1	moved	
WL-SPEC-7	sec-2	Observed-layer derivers	10-cockpit.md	16.1	moved	
WL-SPEC-7	sec-3	Standing queries	10-cockpit.md	16.2	moved	
WL-SPEC-7	sec-4	Critical path v1	10-cockpit.md	16.3	moved	
WL-SPEC-7	sec-5	Overview / CLI surface	10-cockpit.md	16.4	moved	
WL-SPEC-7	sec-6	Dependencies	-	-	dropped-history	
WL-SPEC-7	sec-7	Open questions	-	-	dropped-history	
WL-SPEC-7	sec-8	Acceptance criteria	-	-	dropped-history	
WL-SPEC-8	sec-0	Purpose & scope	08-agent-harness-and-sessions.md	intro	merged	
WL-SPEC-8	sec-1	Design lens & CLI naming (design lens)	08-agent-harness-and-sessions.md	1	moved	
WL-SPEC-8	sec-1	Design lens & CLI naming (061 naming law amendment)	09-cli-and-skills.md	-	pointer	
WL-SPEC-8	sec-1	Design lens & CLI naming (053 shipped executables amendment)	01-system-and-deployment.md	-	pointer	
WL-SPEC-8	sec-10	Hook implementation & coexistence	08-agent-harness-and-sessions.md	4.1	moved	
WL-SPEC-8	sec-11	lode task brief <id> --json	08-agent-harness-and-sessions.md	7.1	moved	
WL-SPEC-8	sec-12	Slash commands	08-agent-harness-and-sessions.md	7.2	moved	
WL-SPEC-8	sec-13	Skills (judgment only)	08-agent-harness-and-sessions.md	7.3	moved	
WL-SPEC-8	sec-14	The worker subagent	08-agent-harness-and-sessions.md	7.4	moved	
WL-SPEC-8	sec-15	No MCP in v1	08-agent-harness-and-sessions.md	1	merged	
WL-SPEC-8	sec-16	The harness landscape (August 2026)	-	-	dropped-history	dated capability survey; only the resulting event map survives in 5.4
WL-SPEC-8	sec-17.1	The harness adapter	08-agent-harness-and-sessions.md	5	moved	
WL-SPEC-8	sec-17.2	lode install across harnesses	08-agent-harness-and-sessions.md	5.1	moved	
WL-SPEC-8	sec-17.3	Skill delivery	08-agent-harness-and-sessions.md	5.2	moved	
WL-SPEC-8	sec-17.4	Hook delivery	08-agent-harness-and-sessions.md	5.4	moved	
WL-SPEC-8	sec-17.5	Status line	08-agent-harness-and-sessions.md	6	moved	
WL-SPEC-8	sec-17.6	Telemetry ingest (v2)	08-agent-harness-and-sessions.md	5.5	moved	
WL-SPEC-8	sec-17.7	Instruction files	08-agent-harness-and-sessions.md	5.3	moved	
WL-SPEC-8	sec-18	Degradation	08-agent-harness-and-sessions.md	5.6	moved	
WL-SPEC-8	sec-19	Dependencies	-	-	dropped-other	cross-spec dependency list replaced by inline links to new files
WL-SPEC-8	sec-2	Worktree-bound lease lifecycle	08-agent-harness-and-sessions.md	2	moved	
WL-SPEC-8	sec-20	Open questions	08-agent-harness-and-sessions.md	Open questions	moved	Q008.2 resolved and Q008.4 (issue mirror) dropped as stale
WL-SPEC-8	sec-21	Acceptance criteria	-	-	dropped-other	acceptance list not carried for harness/plugin
WL-SPEC-8	sec-22	Sources	-	-	dropped-history	
WL-SPEC-8	sec-3	Branch names are a server-rendered template	08-agent-harness-and-sessions.md	3.1	moved	
WL-SPEC-8	sec-4	Reverse parsing: branch to task id	08-agent-harness-and-sessions.md	3.2	moved	
WL-SPEC-8	sec-5.1	Base directory	08-agent-harness-and-sessions.md	3.3	moved	
WL-SPEC-8	sec-5.2	The path guard	08-agent-harness-and-sessions.md	3.4	moved	
WL-SPEC-8	sec-6	Naming configuration surface	08-agent-harness-and-sessions.md	3.3	merged	
WL-SPEC-8	sec-7	Naming cutover	-	-	dropped-history	
WL-SPEC-8	sec-8	Naming and guard tests	-	-	dropped-other	test enumeration, not design
WL-SPEC-8	sec-9	Hooks	08-agent-harness-and-sessions.md	4	moved	
WL-SPEC-12	sec-0	Problem	08-agent-harness-and-sessions.md	8	merged	
WL-SPEC-12	sec-1	Schema	08-agent-harness-and-sessions.md	8.1	moved	
WL-SPEC-12	sec-2	Lifecycle	08-agent-harness-and-sessions.md	8.2	moved	
WL-SPEC-12	sec-3	Store and API	08-agent-harness-and-sessions.md	8.3	moved	
WL-SPEC-12	sec-4	Hook wiring	08-agent-harness-and-sessions.md	8.4	moved	
WL-SPEC-12	sec-5	Error handling	08-agent-harness-and-sessions.md	8.5	moved	
WL-SPEC-12	sec-6	Testing	-	-	dropped-other	test enumeration
WL-SPEC-12	sec-7	Out of scope	08-agent-harness-and-sessions.md	8.4	merged	marker-pid finding kept; struck-through cost item is history
WL-SPEC-13	sec-0	Purpose & scope	08-agent-harness-and-sessions.md	10	merged	
WL-SPEC-13	sec-1	Command surface	08-agent-harness-and-sessions.md	10	moved	
WL-SPEC-13	sec-1.1	lode doctor	08-agent-harness-and-sessions.md	10.1	moved	
WL-SPEC-13	sec-1.2	lode project doctor [repo]	08-agent-harness-and-sessions.md	10.2	moved	renamed lode project health
WL-SPEC-13	sec-2	lode reconcile	08-agent-harness-and-sessions.md	10.3	moved	
WL-SPEC-13	sec-3	API	08-agent-harness-and-sessions.md	10.4	moved	
WL-SPEC-13	sec-4	Dependencies	-	-	dropped-other	cross-spec dependency list replaced by inline links
WL-SPEC-13	sec-5	Open questions	08-agent-harness-and-sessions.md	Open questions	moved	Q1 and Q3 kept; Q2 retired
WL-SPEC-13	sec-6	Testing	-	-	dropped-other	test enumeration
WL-SPEC-13	sec-7	Acceptance criteria	08-agent-harness-and-sessions.md	10.4	merged	
WL-SPEC-16	sec-0	Purpose & scope	09-cli-and-skills.md	7	moved	
WL-SPEC-16	sec-1	Registry & git sync	09-cli-and-skills.md	7.1	moved	
WL-SPEC-16	sec-2	Embeddings & recommendation	09-cli-and-skills.md	7.2	moved	
WL-SPEC-16	sec-3	Pins	09-cli-and-skills.md	7.3	merged	
WL-SPEC-16	sec-4	Distribution & local install	09-cli-and-skills.md	7.3	merged	
WL-SPEC-16	sec-5	Brief integration & activation	09-cli-and-skills.md	7.3	merged	
WL-SPEC-16	sec-6	Degradation	09-cli-and-skills.md	7.3	merged	
WL-SPEC-16	sec-7	Dependencies	09-cli-and-skills.md	-	dropped-history	
WL-SPEC-16	sec-8	Open questions	09-cli-and-skills.md	Open questions	merged	
WL-SPEC-16	sec-9	Acceptance criteria	09-cli-and-skills.md	-	dropped-other	acceptance criteria; specs2 carries none
WL-SPEC-17	sec-0	Purpose & scope	02-identity-actors-and-secrets.md	10	moved	
WL-SPEC-17	sec-1	Names & catalog	02-identity-actors-and-secrets.md	10.2	moved	
WL-SPEC-17	sec-10	Acceptance criteria	02-identity-actors-and-secrets.md	-	dropped-other	acceptance criteria not carried into the consolidated spec
WL-SPEC-17	sec-2	Declaration	02-identity-actors-and-secrets.md	10.3	moved	
WL-SPEC-17	sec-3	Claim-time ceremony & materialization	02-identity-actors-and-secrets.md	10.4	moved	
WL-SPEC-17	sec-4	Execution: lode secrets exec	02-identity-actors-and-secrets.md	10.5	moved	
WL-SPEC-17	sec-5	The lode-secrets skill	02-identity-actors-and-secrets.md	10.7	moved	
WL-SPEC-17	sec-6	Degradation	02-identity-actors-and-secrets.md	10.8	moved	
WL-SPEC-17	sec-7	Later phases (non-normative)	02-identity-actors-and-secrets.md	-	dropped-other	non-normative v1.5/v2 sketches not carried
WL-SPEC-17	sec-8	Dependencies	02-identity-actors-and-secrets.md	-	dropped-other	cross-spec dependency list replaced by inline links to the new files
WL-SPEC-17	sec-9	Open questions	02-identity-actors-and-secrets.md	Open questions	moved	
WL-SPEC-19	sec-0	Why	09-cli-and-skills.md	-	dropped-history	
WL-SPEC-19	sec-1	Decisions	09-cli-and-skills.md	6	merged	
WL-SPEC-19	sec-2	Resolution chain	09-cli-and-skills.md	6.1	moved	
WL-SPEC-19	sec-3	Server changes	09-cli-and-skills.md	6.2	moved	
WL-SPEC-19	sec-4	Client changes	09-cli-and-skills.md	6.3	moved	
WL-SPEC-19	sec-4.1	Resolution and the cache	09-cli-and-skills.md	6.3	moved	
WL-SPEC-19	sec-4.2	`lode project resolve [--refresh]`	09-cli-and-skills.md	6.3	moved	
WL-SPEC-19	sec-4.3	Bare task numbers	09-cli-and-skills.md	6.4	moved	
WL-SPEC-19	sec-4.4	Typed ids and `lode show`	09-cli-and-skills.md	6.5	moved	
WL-SPEC-19	sec-4.5	Command surface	09-cli-and-skills.md	6.6	moved	
WL-SPEC-19	sec-5	Testing	09-cli-and-skills.md	-	dropped-other	test plan; specs2 carries no test plans
WL-SPEC-19	sec-6	Non-goals	09-cli-and-skills.md	6.6	merged	
WL-SPEC-20	sec-0	Why	08-agent-harness-and-sessions.md	11	merged	
WL-SPEC-20	sec-1	How the gap stayed invisible	-	-	dropped-history	
WL-SPEC-20	sec-2	Decisions	08-agent-harness-and-sessions.md	11	moved	
WL-SPEC-20	sec-3.1	Fetch	08-agent-harness-and-sessions.md	11.1	moved	
WL-SPEC-20	sec-3.2	API	08-agent-harness-and-sessions.md	11.2	moved	
WL-SPEC-20	sec-3.3	Staging what was imported	08-agent-harness-and-sessions.md	11.3	moved	
WL-SPEC-20	sec-3.4	Link	08-agent-harness-and-sessions.md	11.3	moved	
WL-SPEC-20	sec-3.5	Event-subscription check	08-agent-harness-and-sessions.md	11.4	moved	
WL-SPEC-20	sec-4	Testing	-	-	dropped-other	test enumeration
WL-SPEC-20	sec-5	What this spec does not cover	08-agent-harness-and-sessions.md	11.4	merged	deferral to 05-documents.md and Tarball note kept as one sentence
WL-SPEC-20	sec-6	Follow-ups this leaves open	08-agent-harness-and-sessions.md	11.4	merged	
WL-SPEC-21	sec-0	Purpose & scope	06-design-queries-intents-decks.md	8	merged	embedded/attached distinction kept as the intro of 8; motivation and scope lists dropped
WL-SPEC-21	sec-1	Storage	06-design-queries-intents-decks.md	8.1	moved	
WL-SPEC-21	sec-10	Brief integration	06-design-queries-intents-decks.md	8.6	merged	
WL-SPEC-21	sec-11	Lifecycle and garbage collection	06-design-queries-intents-decks.md	8.7	moved	11.1, 11.2 folded in
WL-SPEC-21	sec-12	Mirroring on import	06-design-queries-intents-decks.md	8.8	moved	
WL-SPEC-21	sec-13	Configuration	06-design-queries-intents-decks.md	8.9	moved	
WL-SPEC-21	sec-14	Open questions	06-design-queries-intents-decks.md	Open questions	moved	Q021.1 and Q021.3 carried; resolved Q021.2 and Q021.4 dropped as history
WL-SPEC-21	sec-15	Acceptance criteria	06-design-queries-intents-decks.md	-	dropped-other	acceptance criteria restate 8.1-8.9
WL-SPEC-21	sec-15.1	Verification state	06-design-queries-intents-decks.md	Open questions	merged	the unverified presigned response-* overrides (WL-206) line
WL-SPEC-21	sec-2	Reference syntax and serving	06-design-queries-intents-decks.md	8.2	moved	
WL-SPEC-21	sec-3	Surfaces	06-design-queries-intents-decks.md	8.3	moved	
WL-SPEC-21	sec-4	Auth	06-design-queries-intents-decks.md	8.4	moved	
WL-SPEC-21	sec-5	Upload	06-design-queries-intents-decks.md	8.5	moved	
WL-SPEC-21	sec-6	Serving hardening	06-design-queries-intents-decks.md	8.6	merged	
WL-SPEC-21	sec-7	Reference rewriting	06-design-queries-intents-decks.md	8.5	merged	
WL-SPEC-21	sec-8	Rendering	06-design-queries-intents-decks.md	8.6	merged	8.1 web UI and 8.2 CLI both in 8.6
WL-SPEC-21	sec-9	Attachments	06-design-queries-intents-decks.md	8.3	merged	attach/detach rows in the 8.3 surfaces table plus the intro of 8
WL-SPEC-22	sec-0	Purpose & scope	01-system-and-deployment.md	6	merged	
WL-SPEC-22	sec-1	Registry plumbing	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-2	Process and DB-pool collectors	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-3	Lease and claim metrics (internal/store)	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-4	Background jobs	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-5	Webhooks (internal/hooks)	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-6	Embeddings (internal/embed)	01-system-and-deployment.md	6	moved	
WL-SPEC-22	sec-7	Testing	01-system-and-deployment.md	9	merged	
WL-SPEC-22	sec-8	Maintenance instructions	01-system-and-deployment.md	6	merged	rule kept as a bullet, CLAUDE.md instruction dropped
WL-SPEC-22	sec-9	Scrape path	01-system-and-deployment.md	4.4	moved	
WL-SPEC-25	sec-0	0. Why	05-documents.md	-	dropped-history	
WL-SPEC-25	sec-1	1. Principle: rows are things someone made; groupings are queries	05-documents.md	1	moved	
WL-SPEC-25	sec-10	10. Task kinds	05-documents.md	12	moved	
WL-SPEC-25	sec-10.1	10.1 A decision's data	05-documents.md	12	moved	
WL-SPEC-25	sec-11	11. Implementation coverage	05-documents.md	13	moved	
WL-SPEC-25	sec-11.1	11.1 Three objects, previously conflated	05-documents.md	13	moved	
WL-SPEC-25	sec-11.2	11.2 `.worklode/implements.yaml`	05-documents.md	13	moved	
WL-SPEC-25	sec-11.3	11.3 The component is derived, never declared	05-documents.md	13	moved	
WL-SPEC-25	sec-11.4	11.4 Single-component repositories	05-documents.md	13	moved	
WL-SPEC-25	sec-11.5	11.5 Deriver: `observed/repo-implements`	05-documents.md	13	moved	
WL-SPEC-25	sec-11.6	11.6 This replaces spec 013's engine 3	05-documents.md	-	dropped-history	
WL-SPEC-25	sec-12	12. Authorship	05-documents.md	13	merged	
WL-SPEC-25	sec-13	13. Project and Milestone	05-documents.md	13	merged	
WL-SPEC-25	sec-14	14. Document frontmatter	05-documents.md	7	moved	
WL-SPEC-25	sec-14.1	14.1 References carry the section	05-documents.md	7	moved	
WL-SPEC-25	sec-14.2	14.2 Amendment references are bidirectional	05-documents.md	7	moved	
WL-SPEC-25	sec-14.3	14.3 The `<KEY>-<TYPE>-<n>` shorthand	05-documents.md	7	moved	
WL-SPEC-25	sec-15	15. The event log is totally ordered	05-documents.md	15	moved	
WL-SPEC-25	sec-15.1	15.1 Subscribers hold offsets	05-documents.md	15	moved	
WL-SPEC-25	sec-15.2	15.2 Events are RDF-shaped	05-documents.md	15	moved	
WL-SPEC-25	sec-15.3	15.3 Emitting	05-documents.md	15	moved	
WL-SPEC-25	sec-15.4	15.4 The `doc-lifecycle` subscriber	05-documents.md	15	moved	
WL-SPEC-25	sec-15.5	15.5 Events of the escalation ladder	05-documents.md	15	merged	
WL-SPEC-25	sec-15.6	15.6 Planning cost lands on the planning task	05-documents.md	15	moved	
WL-SPEC-25	sec-15.7	15.7 Metrics	05-documents.md	15	moved	
WL-SPEC-25	sec-16	16. Git → backbone sync: the on-ramp	05-documents.md	-	dropped-stale	withdrawn in source; parser survival noted in 16
WL-SPEC-25	sec-16.1	16.1 What syncs — corpora and config	05-documents.md	-	dropped-stale	
WL-SPEC-25	sec-16.2	16.2 The sync command	05-documents.md	-	dropped-stale	
WL-SPEC-25	sec-16.3	16.3 Identity	05-documents.md	-	dropped-stale	
WL-SPEC-25	sec-16.4	16.4 Reads	05-documents.md	-	dropped-stale	
WL-SPEC-25	sec-16.5	16.5 Relationship to the query surface and to 029	05-documents.md	-	dropped-stale	
WL-SPEC-25	sec-17	17. `ns/` is the schema source	05-documents.md	14	moved	
WL-SPEC-25	sec-18	18. Surfaces	05-documents.md	18	moved	
WL-SPEC-25	sec-19	19. Implementation	05-documents.md	-	dropped-other	package-to-unit map and plan split; belongs to plans, not the spec
WL-SPEC-25	sec-2	2. What is, and is not, a design document	05-documents.md	2	moved	
WL-SPEC-25	sec-2.1	2.1 Resulting class hierarchy	05-documents.md	2	moved	
WL-SPEC-25	sec-2.2	2.2 Documents are not closeable	05-documents.md	2	moved	
WL-SPEC-25	sec-20	20. Testing	05-documents.md	-	dropped-other	test list; belongs to plans
WL-SPEC-25	sec-21	21. Dependencies	05-documents.md	-	dropped-history	
WL-SPEC-25	sec-22	22. Out of scope	05-documents.md	6	merged	"only ""constraints bind from first acceptance"" kept"
WL-SPEC-25	sec-23	23. Open questions	05-documents.md	-	merged	resolved items folded into 4/6/13; open items 6, 8, 9 carried to the unnumbered Open questions section
WL-SPEC-25	sec-24	24. Acceptance criteria	05-documents.md	-	dropped-history	
WL-SPEC-25	sec-3	3. Sections as first-class nodes	05-documents.md	4	moved	
WL-SPEC-25	sec-3.1	3.1 Anchors	05-documents.md	4	moved	
WL-SPEC-25	sec-3.2	3.2 Numbering is identity, so numbering is frozen	05-documents.md	4	moved	
WL-SPEC-25	sec-3.3	3.3 What one mint buys	05-documents.md	4	moved	
WL-SPEC-25	sec-4	4. Versioning	05-documents.md	5	moved	
WL-SPEC-25	sec-4.1	4.1 Canonical plus versioned IRIs	05-documents.md	5	moved	
WL-SPEC-25	sec-4.2	4.2 Relationship to ADR-0006	05-documents.md	5	merged	
WL-SPEC-25	sec-4.3	4.3 Publication is one transaction	05-documents.md	5	moved	
WL-SPEC-25	sec-4.4	4.4 Section-level staleness without section-level versions	05-documents.md	5	moved	
WL-SPEC-25	sec-4.5	4.5 Store-level version history	05-documents.md	3	merged	
WL-SPEC-25	sec-5	5. Documents move into the backbone	05-documents.md	3	merged	git-mirror `[doc_sync]`/pull/push paragraph dropped to Open questions; transitional paragraph dropped-history
WL-SPEC-25	sec-5.1	5.1 The document store	05-documents.md	-	dropped-stale	withdrawn with the on-ramp (025 §16 note)
WL-SPEC-25	sec-6	6. Constraints on accepted documents	05-documents.md	6	moved	
WL-SPEC-25	sec-6.1	6.1 Anchor depth	05-documents.md	4	merged	
WL-SPEC-25	sec-6.2	6.2 Rule 2 is detected, not refused	05-documents.md	6	moved	
WL-SPEC-25	sec-7	7. Editorial lifecycle	05-documents.md	9	moved	
WL-SPEC-25	sec-7.1	7.1 `implemented` leaves the status enum	05-documents.md	9	merged	
WL-SPEC-25	sec-7.2	7.2 Revising an accepted document	05-documents.md	9	moved	
WL-SPEC-25	sec-7.3	7.3 Reviewers and the accept gate	05-documents.md	9	moved	
WL-SPEC-25	sec-8	8. The escalation ladder	05-documents.md	10	moved	
WL-SPEC-25	sec-8.1	8.1 Escalation to a human	05-documents.md	10	moved	
WL-SPEC-25	sec-8.2	8.2 In-place amendment	05-documents.md	10	moved	
